"label","text"
"004","en un negocio"
"014","en un cuarto de baño"
"024","en una mansión"
"005","en un conservatorio"
"015","en un gimnasio"
"025","en un mundo de fantasía"
"006","en una escuela"
"016","en el Polo"
"007","en un taller"
"017","en un concierto"
"008","en una cocina"
"018","en una sala de estar"
"009","en un cuarto infantil"
"010","en una instalación pública"
"020","en el espacio"
"001","al aire libre"
"011","en un despacho"
"021","en un museo"
"002","en el mar"
"012","en Oriente"
"022","en una peli de miedo"
"003","en una oficina"
"013","en una fiesta"
"023","en un jardín"
