"label","text"
"Fence_05213_pl","有刺鐵絲網"
"Fence_04350_pl","圓木柵欄"
"Fence_04358_pl","尖刺柵欄"
"Fence_11712_pl","交叉格柵"
"Fence_12758_pl","樹叢"
"Fence_04349","橫條木板柵欄"
"Fence_05212","石柵欄"
"Fence_03403_pl","竹柵欄"
"Fence_05213","有刺鐵絲網"
"Fence_12630_pl","復活節柵欄"
"Fence_03080","磚塊柵欄"
"Fence_11711","樸素木製柵欄"
"Fence_03402_pl","直條木板柵欄"
"Fence_11712","交叉格柵"
"Fence_03080_pl","磚塊柵欄"
"Fence_05206","西洋風柵欄"
"Fence_05206_pl","西洋風柵欄"
"Fence_12285","コミューン島専用柵"
"Fence_12630","復活節柵欄"
"Fence_05207","和風柵欄"
"Fence_04350","圓木柵欄"
"Fence_12894","婚禮柵欄"
"Fence_04352","釘子與繩索"
"Fence_04352_pl","釘子與繩索"
"Fence_05212_pl","石柵欄"
"Fence_05207_pl","和風柵欄"
"Fence_12894_pl","婚禮柵欄"
"Fence_04354","東方風柵欄"
"Fence_04357_pl","鐵柵欄"
"Fence_11711_pl","樸素木製柵欄"
"Fence_04354_pl","東方風柵欄"
"Fence_12285_pl","コミューン島専用柵"
"Fence_04349_pl","橫條木板柵欄"
"Fence_04356","乾稻草柵欄"
"Fence_03402","直條木板柵欄"
"Fence_04357","鐵柵欄"
"Fence_12758","樹叢"
"Fence_03403","竹柵欄"
"Fence_04356_pl","乾稻草柵欄"
"Fence_04358","尖刺柵欄"
