"label","text"
"675","童話風頭巾"
"709","棒球安全帽"
"676","木乃伊頭套"
"831","丸子頭"
"677","兔子頭套"
"832","頭戴式耳機"
"678","貓頭套"
"833","頭飾"
"931","捕手面罩"
"679","全罩式頭套"
"834","面紗"
"933","阿拉伯帽子"
"738","英雄安全帽"
"836","藝妓假髮"
"934","黑子頭巾"
"837","音樂家假髮"
"838","動力頭盔"
"822","農作遮陽帽"
"1010","金幣頭飾"
"692","金頭盔"
"1011","小辮子"
"825","拳擊頭套"
"923","曲棍球面罩"
"1012","視覺系假髮"
"826","龐克頭"
"711","職業摔角面具"
"827","飛機頭"
"712","熱狗頭套"
"828","武士頭"
"1113","星星頭套"
"697","美式足球安全帽"
"713","耳罩針織帽"
"829","洋蔥頭"
"680","骸骨頭套"
"698","消防員帽子"
"1040","雪人帽子"
"699","焊接面罩"
"682","熊頭套"
"683","河童頭頂"
"717","太空人安全帽"
"758","魔鬼頭套"
"718","漆彈面罩"
"741","特本頭巾"
"759","綿羊頭套"
"742","護目鏡安全帽"
"956","葉子面具"
"686","鐵甲面罩"
"702","頭盔"
"687","青蛙頭套"
"917","狐狸面具"
"704","荷蘭帽子"
"900","紙袋"
"918","老翁能面具"
"919","能面具"
"1008","公主假髮"
"706","飛行帽"
"1009","髮帶"
"707","嬰兒帽子"
"748","全罩式安全帽"
"674","小偷頭巾"
"708","忍者頭巾"
